Institution,out turn
"Indian Institute of Science Education & Research (IISER), Bhopal (Id: U-0272)",188
"Indian Institute of Science Education & Research (IISER), Kolkata, (Id: U-0572)",205
"Indian Institute of Science Education & Research (IISER), Mohali (Id: U-0377)",223
"Indian Institute of Science Education & Research (IISER), Pune, (Id: U-0305)",225
"Indian Institute of Science Education & Research (IISER), Thiruvananthapuram (Id: U-0254)",153
"Indian Institute of Science Education & Research (IISER), Tirupati (Id: U-0827)",0
"Indian Institute of Space Science and Technology, Thiruvananthapuram (Id: U-0255)",225
"INDIAN INSTITUTE OF TEACHER EDUCATION, GANDHINAGAR (Id: U-0664)",131
"INDIAN INSTITUTE OF TECHNOLOGY (BANARAS HINDU UNIVERSITY), VARANASI (Id: U-0701)",1289
Indian Institute of Technology Bhilai (Id: U-0946),4
"Indian Institute of Technology, Bhubaneshwar (Id: U-0355)",356
"Indian Institute of Technology, Chennai (Id: U-0456)",1866
"Indian Institute of Technology, Delhi (Id: U-0100)",2034
"Indian Institute of Technology, Dharwad (Id: U-0899)",0
"Indian Institute of Technology, Gandhinagar (Id: U-0139)",395
"Indian Institute of Technology, Goa (Id: U-0907)",0
"Indian Institute of Technology, Guwahati (Id: U-0053)",1362
"Indian Institute of Technology, Hyderabad (Id: U-0013)",517
"Indian Institute of Technology (Indian School of Mines), Dhanbad (Id: U-0205)",1842
"Indian Institute of Technology, Indore (Id: U-0273)",275
Indian Institute of Technology Jammu (Id: U-0906),0
"Indian Institute of Technology, Jodhpur (Id: U-0395)",219
"Indian Institute of Technology, Kanpur (Id: U-0517)",1228
"Indian Institute of Technology, Kharagpur (Id: U-0573)",2705
"Indian Institute of Technology, Mandi (Id: U-0184)",272
"Indian Institute of Technology, Mumbai (Id: U-0306)",1542
"Indian Institute of Technology, Palakkad (Id: U-0878)",99
"Indian Institute of Technology, Patna (Id: U-0064)",339
"Indian Institute of Technology, Roorkee (Id: U-0560)",1984
"Indian Institute of Technology, Ropar (Id: U-0378)",206
