university,studenttotal,teacherscount,sfr
A P GOYAL SHIMLA UNIVERSITY (Id: U-0697),1950,114.0,17.105263157894736
A P J ABDUL KALAM TECHNOLOGICAL UNIVERSITY (Id: U-0786),0,2.0,0.0
"ARKA JAIN University, Jharkhand (Id: U-0920)",3332,84.0,39.666666666666664
ARUNACHAL UNIVERSITY OF STUDIES (Id: U-0740),5574,200.0,27.87
Arunodaya University (Id: U-0947),801,38.0,21.07894736842105
"Aryabhatta Knoweledge University , Patna (Id: U-0057)",26,4.0,6.5
ASHOKA UNIVERSITY (Id: U-0744),1999,97.0,20.608247422680414
"Assam Agricultural University, Jorhat (Id: U-0048)",1418,194.0,7.309278350515464
"Assam Don Bosco University, Guwahati (Id: U-0049)",3245,234.0,13.867521367521368
ASSAM DOWN TOWN UNIVERSITY (Id: U-0683),1250,223.0,5.605381165919282
Assam Royal Global University (Id: U-0894),3020,176.0,17.15909090909091
ASSAM SCIENCE AND TECHNOLOGY UNIVERSITY (Id: U-0673),8,2.0,4.0
"Assam University, Silchar (Id: U-0050)",4364,357.0,12.224089635854341
ASSAM WOMEN?S UNIVERSITY (Id: U-0815),512,52.0,9.846153846153847
ATAL BIHARI VAJPAYEE HINDI VISHWAVIDYALAYA (Id: U-0651),594,4.0,148.5
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior (Id: U-0267)",1099,52.0,21.134615384615383
ATAL BIHARI VAJPAYEE VISHWAVIDYALAYA (Id: U-0636),620,27.0,22.962962962962962
ATMIYA UNIVERSITY (Id: U-0967),3925,108.0,36.342592592592595
AURO UNIVERSITY OF HOSPITALITY AND MANAGEMENT (Id: U-0794),1250,109.0,11.46788990825688
AVANTIKA UNIVERSITY (Id: U-0959),332,41.0,8.097560975609756
"Avinashilingam Institute for Home Science & Higher Education for Women, Coimbatore (Id: U-0444)",8108,401.0,20.219451371571072
"Awadesh Pratap Singh University, Rewa (Id: U-0268)",3067,56.0,54.767857142857146
"Azim Premji University, Bangalore (Id: U-0601)",1082,148.0,7.3108108108108105
"Baba Farid University of Health & Medical Sciences, Faridkot (Id: U-0371)",2156,2.0,1078.0
"Baba Ghulam Shah Badshah University,  Jammu (Id: U-0191)",2563,200.0,12.815
BABA MASTNATH UNIVERSITY (Id: U-0666),3237,132.0,24.522727272727273
"Babasheb Bhimrao Ambedkar University, Lucknow (Id: U-0498)",4742,173.0,27.410404624277458
"Babu Banarsi Das University, Lucknow (Id: U-0499)",6562,423.0,15.513002364066194
"Baddi University of Emerging Sciences and Technology, Baddi (Makhnumajra), Solan (Id: U-0177)",1225,103.0,11.893203883495145
"Bahra University, Solan (Id: U-0597)",1391,90.0,15.455555555555556
"Banaras Hindu University, Banaras (Id: U-0500)",29457,1273.0,23.139827179890023
Banasthali Vidyapith (Id: U-0389),12711,615.0,20.66829268292683
"Bangalore University, Bangalore (Id: U-0215)",7647,226.0,33.836283185840706
