Playground,Auditorium,Theatre,Library,Laboratory,Conference Hall,Health Center, Gymnasium/ Fitness Center,Indoor Stadium,Common Room,Computer Center,Cafeteria,Guest House,Separate Room For Girls,Solar Power Generation,Connectivity Nkn,Connectivity Nmeict,Campus Friendly,Grievance Redressal Mechanism,"Vigilance
Cell","Opportunity
Cell",Separate Toilet For Disabled Female,Ramp Attached To Classroom ,Sexual Harassment Cell,Counselors For Student,Clinic First Aid Room,Separate Toilet For Girls,Skill Development Centre,Self Defence Class For Females,Institution Disaster Management Facilities,Count,Name
1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,19.0,APEX PROFESSIONAL UNIVERSITY (Id: U-0712)
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,APEX UNIVERSITY (Id: U-1038)
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,23.0,A P GOYAL SHIMLA UNIVERSITY (Id: U-0697)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A P J ABDUL KALAM TECHNOLOGICAL UNIVERSITY (Id: U-0786)
1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,21.0,"ARKA JAIN University, Jharkhand (Id: U-0920)"
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,26.0,ARUNACHAL UNIVERSITY OF STUDIES (Id: U-0740)
1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,18.0,Arunodaya University (Id: U-0947)
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,12.0,"Aryabhatta Knoweledge University , Patna (Id: U-0057)"
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,28.0,ASHOKA UNIVERSITY (Id: U-0744)
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,24.0,"Assam Agricultural University, Jorhat (Id: U-0048)"
