,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
CENTRAL INSTITUTE OF TECHNOLOGY (Id: U-1067),79,16,8,2,17,4,14,,1,,1,,6,1
"Central Univeristy of Gujarat, Gandhinagar (Id: U-0126)",60,39,11,3,4,1,12,8,1,1,2,2,4,6
"Central Univeristy of Kerala, Kasaragod (Id: U-0252)",95,38,12,5,7,1,31,19,6,1,6,2,12,8
"Central University of Haryana, Mahendergarh (Id: U-0158)",107,43,11,5,1,1,22,12,1,,3,,,1
"Central University of Himachal Pradesh, Dharmshala, Kangra (Id: U-0178)",62,14,11,,3,2,12,2,,,1,1,3,1
CENTRAL UNIVERSITY OF JAMMU (Id: U-0631),68,30,8,3,5,1,17,4,2,,7,,1,
"Central University of Jharkhand, Ranchi (Id: U-0204)",81,17,10,1,3,3,17,2,1,,2,1,5,3
"Central University of Karnataka, Gulbarga (Id: U-0216)",70,21,14,4,3,2,23,7,,,12,1,4,4
"Central University of Kashmir, Srinagar (Id: U-0193)",104,28,7,1,3,1,12,2,,,90,25,3,1
"Central University of Orissa, Koraput (Id: U-0352)",33,10,2,1,1,,6,,2,,,,,
"Central University of Punjab, Bathhinda (Id: U-0372)",89,28,11,1,2,,16,2,2,,,1,13,8
"Central University of Rajasthan, Jaipur (Id: U-0392)",114,35,14,3,6,,25,2,1,,3,1,,3
"Central University of South Bihar, Patna (Id: U-0062)",125,27,18,1,5,2,26,5,2,,5,1,3,1
"Central University of Tamil Nadu, Tiruvarur (Id: U-0449)",138,53,20,6,5,1,52,17,4,,2,,8,4
"Centre for Environmental Planning and Technology University, Ahmedabad (Id: U-0127)",62,50,,,,,,,,,1,,1,3
Centurion University of Technology and Management (Id: U-0353),134,60,6,6,1,1,39,18,,,3,,2,1
CENTURION UNIVERSITY OF TECHNOLOGY AND MANAGEMENT (Id: U-0957),22,12,3,2,,,12,4,,,,,2,1
CHANDIGARH UNIVERSITY (Id: U-0747),931,921,55,54,1,3,81,61,,,19,8,298,332
"Chankaya National Law University, Patna (Id: U-0063)",20,10,,1,,,1,,,,2,1,1,
"Charotar University of Science & Technology,  Anand (Id: U-0128)",10,,,,,,,,,,,,,
"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)",117,73,17,7,,,37,17,,,1,2,1,
CHAUDHARY BANSI LAL UNIVERSITY (Id: U-0788),46,48,6,2,,,6,7,,,2,,,
"Chaudhary Charan Singh Haryana Agricultural University, Hisar (Id: U-0159)",71,17,9,1,,,7,2,,,,,,
"CHAUDHARY RANBIR SINGH UNIVERSITY, JIND (Id: U-0738)",34,18,5,1,,,6,,,,,,1,
"Chaudhary Sarwan Kumar Himachal Pardesh Krishi Vishvavidyalaya, Palampur (Id: U-0179)",181,52,18,4,5,2,1,,,,,,3,0
"Ch. Devi Lal University, Sirsa (Id: U-0160)",47,18,4,1,,,2,,,,1,,2,1
"Chennai Mathematical  Institue, Chennai (Id: U-0450)",43,7,,,,,,,,,,,6,2
"Chettinad Academy of Research & Education, Kancheepuram (Id: U-0451)",10,7,,,,,4,3,,,,,,
CHHATRAPATI SHIVAJI MAHARAJ UNIVERSITY (Id: U-0987),21,7,,1,,,1,,,,4,,,
CHHATTISGARH KAMDHENU VISHWAVIDALAYA (Id: U-0634),5,3,,,1,,,,,,1,,1,1
"Chhattisgarh Swami Vivekanand Technical University, Bhilai (Id: U-0083)",16,7,1,,,,5,3,,,,,1,
"Children University, Gandhinagar (Id: U-0594)",7,3,,,,,1,,,,,,,
Chinmaya Vishwavidyapeeth (Id: U-0903),29,11,,,,,,,,,,,,
"Chitkara University, Kalu Jhanda (Barotiwala), Solan (Id: U-0180)",51,94,,,,,3,3,,,,,6,11
"Chitkara University, Patiala (Id: U-0373)",395,402,2,1,,,3,2,,,8,1,93,106
"Choudhary Charan Singh University, Meerut (Id: U-0506)",77,34,14,5,,,24,5,,,3,,1,
"Christ University, Bangalore (Id: U-0217)",493,338,16,5,4,5,112,40,2,,4,9,169,102
Cluster University of Jammu (Id: U-0926),11,18,,,,,,,,,3,,,4
Cluster University Srinagar (Id: U-0909),3,2,,,,,,,,,3,2,,
CMJ University (Id: U-0942),94,51,2,1,9,8,10,6,,,8,4,16,5
"CMR UNIVERSITY, BANGALORE (Id: U-0723)",110,105,1,3,,,4,6,,,2,4,4,10
"Cochin University of Science & Technology, Kochi (Id: U-0253)",110,53,13,5,1,1,42,19,,,9,4,21,11
COOCH BEHAR PANCHANAN BARMA UNIVERSITY (Id: U-0787),46,15,15,2,2,2,6,2,,,3,2,1,1
COTTON UNIVERSITY (Id: U-0675),101,123,2,9,7,12,22,25,,,9,8,2,4
"CT University, Ludhiana (Id: U-0892)",57,86,5,2,,,4,5,,,6,,31,47
"C.U.SHAH UNIVERSITY, SURENDRANAGAR (Id: U-0708)",8,4,,,,,2,1,,,1,,,
Dakshina Bharat Hindi Prachar Sabha (Id: U-0452),9,11,1,,,,2,3,,,,1,,
Damodaram Sanjivayya National Law University (Id: U-0002),13,8,1,,,,3,2,1,,0,,,
"Datta Meghe Institute of Medical Sciences, Nagpur (Id: U-0295)",298,240,29,43,9,10,84,80,,,10,4,21,37
"Davangere University, Davangere (Id: U-0218)",93,37,24,6,8,5,33,8,,,2,1,2,
DAV University (Id: U-0776),70,51,4,1,1,1,4,1,,,2,,9,6
"Dayalbagh Educational Institute, Agra (Id: U-0507)",127,132,19,6,2,1,16,21,,,2,0,2,7
DAYANANDA SAGAR UNIVERSITY (Id: U-0856),122,139,3,6,1,,44,60,,,3,6,8,9
"Deccan College Postgraduate & Research Institute, Pune (Id: U-0296)",14,14,3,2,1,,3,2,,,,1,2,2
"Deenbandhu Chhotu Ram University of Science & Technology, Murthal(Sonepat) (Id: U-0161)",109,52,16,7,,,10,5,5,,,,2,
"Deen Dayal Upadhyay Gorakhpur University, Gorakhpur (Id: U-0508)",202,68,27,13,,1,51,16,1,,5,3,,1
"Defence Institute of Advanced Technology, Girinagar, Pune (Id: U-0297)",38,10,3,,1,,6,1,,,,,1,
DELHI PHARMACEUTICAL SCIENCES AND RESEARCH UNIVERSITY (Id: U-0853),9,21,2,1,,,2,1,,,,,,1
DESH BHAGAT UNIVERSITY (Id: U-0684),243,291,3,7,,,3,3,,,15,9,94,141
"Devi Ahilya Vishwavidyalaya, Indore (Id: U-0270)",130,78,23,5,14,5,16,8,1,1,4,3,4,9
"Dev Sanskriti Vishwavidyalaya, Gayatrikunj (Id: U-0551)",67,52,,,,,10,8,,,,,,
DHARMASHASTRA NATIONAL LAW UNIVERSITY (Id: U-0958),5,5,,1,,,,1,,,,,,
"Dharmsinh Desai univeristy, Nadiad (Id: U-0129)",189,89,3,1,,,14,5,13,5,3,1,4,4
"Dhirubhai Ambani Institute of Information & Communication Technology, Gandhi Nagar (Id: U-0130)",169,91,,2,,,13,6,,,8,1,7,7
DIAMOND HARBOUR WOMEN?S UNIVERSITY (Id: U-0768),58,42,11,4,1,1,6,5,1,,3,2,,
"Dibrugarh University, Dibrugarh (Id: U-0051)",198,129,7,5,14,7,54,41,,,6,6,,
DIT UNIVERSITY (Id: U-0774),190,80,5,1,,1,26,7,,,10,2,1,4
"Doon University, Dehradun (Id: U-0552)",17,17,1,1,,,2,2,,,,2,,1
DR. ABDUL HAQ URDU UNIVERSITY (Id: U-0998),16,7,3,1,,,3,,,,9,6,,
"Dr.A.P.J. ABDUL KALAM TECHNICAL UNIVERSITY ,LUCKNOW (Id: U-0549)",1,,,,,,,,,,,,,
Dr. A.P.J. ABDUL KALAM UNIVERSITY (Id: U-0862),330,143,20,11,1,1,80,28,,,7,3,,1
"Dravidian University, Kuppam, Chittoor District (Id: U-0010)",42,18,7,3,2,2,16,7,,,0,1,,2
"Dr. Babasaheb Ambedkar Marathwada University, Aurangabad (Id: U-0298)",139,51,31,14,10,2,29,6,1,2,6,2,16,11
"Dr. Babasaheb Ambedkar Open University, Ahmedabad (Id: U-0131)",20,19,2,2,,,4,3,,,,,,
