,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
R.B.S. COLLEGE MANOHAR NAGAR  (Id: C-57202),22,8,3,1,,,12,2,,,,,,
RBS COLLEGE OF EDUCAITON (Id: C-28380),2,4,,,,,,,,,,,,
"R.B.S COLLEGE OF MANAGEMENT & TECH. KHAIR, ALIGARH (Id: C-15255)",12,4,,,,,10,3,,,,,,
"R.B.S. College, Teyai (Id: C-8709)",24,1,,,,,3,,,,3,,,
R.B.S. Degree College (Id: C-59560),19,10,2,,,,11,8,,,,,,
"R.B.S. Degree College, Payakpur, Dingrapur, Basti (Id: C-14165)",27,4,4,,,,14,2,,,1,,,
R. B. S. LAW COLLEGE (Id: C-60326),4,1,,,,,1,,,,1,,,
"R B S Mahavidyalaya, Gaddopur, Jaunpur (Id: C-60894)",1,,,,,,,,,,,,,
"R.B.S. MAHAVIDYALAYA, MEJA KHAS, (Id: C-12280)",39,4,4,,,,23,1,,,,,,
RBVRR College for Women (Id: C-26006),2,120,,7,,,,51,,,,9,,1
"RBVRR COLLEGE OF EDUCATION, KARIMNAGAR (Id: C-21501)",7,,,,,,6,,,,,,,
RBVRR College of Pharmacy (Id: C-25722),3,31,,3,,,1,7,,,,4,,1
RBVRR Institute of Technology (Id: C-25775),3,8,,1,,,1,,,,,,,
R.C.A (PG) GIRLS COLLEGE MATHURA (Id: C-15280),3,24,,1,,,1,3,,,,,,
RCC Institute of Information Technology 117 (Id: C-6159),61,28,1,,,,,,,,2,,,
"R.C.College, Dholi, Sakra, Muzaffarpur (Id: C-18980)",6,1,1,1,,,3,,,,,,,
"R. C. College of Commerce, Ahmadabad (Id: C-5918)",9,4,2,,,,1,,,,,,,
"R.C. College of Education, Dhanot, PO Adhwani, Teh. Dehra, Distt Kangra (Id: C-11453)",8,10,3,1,,,2,2,,,,,,
R.C.C.V. GIRLS DEGREE COLLEGE GHAZIABAD (Id: C-28591),6,52,,,,,1,5,,,,,,
R.C. Institute of Technology (Id: C-32849),8,18,,,,,1,,,,,,,
"R C MEMORIAL NURSING COLLEGE, PALI (Id: C-47184)",11,7,3,1,,,6,2,,1,3,,,
"R.C.M. Science College, Khallikote (Id: C-39332)",30,25,2,1,,2,16,7,,,,,,
RCM St JOHNS DEGREE COLLEGE (Id: C-61018),3,5,,,,,3,4,,,,,,1
RCPs Institute of Education  (Id: C-55946),9,7,,,,,4,5,,,,,,
R C REDDY DEGREE COLLEGE (Id: C-56785),6,7,,,,,4,4,,,1,1,,
"RCR Institute of Management & Technology, Karakambadi, Tirupati (Id: C-27705)",20,9,1,,,,17,8,,,,0,,
R.C. Saharia T.T. College (Id: C-17230),7,15,1,,1,2,2,6,,,,,,
R.C.S. College (Id: C-8741),17,4,3,1,,,7,3,,,1,,,
"R.C.S. college, Kurtha (Id: C-12834)",45,2,,,,,34,2,,,2,,,
"R.C. SHARMA DEGREE COLLEGE, AGRA (Id: C-15135)",1,2,,,,,,,,,,,,
"R.C.S.S. College, Bihat (Id: C-8750)",41,6,,,,,3,,,,2,1,,
"R.C.Technical Institute,Ahmedabad 640 (Id: C-206)",99,45,12,4,2,1,17,6,1,,1,,4,1
R.D.B. College of Education (Id: C-14409),12,10,5,2,,,,,,,,,1,2
"R D B MAHILA COLLEGE, DEOGHAR (Id: C-45392)",5,7,1,,,1,,1,,,,,,2
"R.D. Chilika Mahavidyalaya, Chilika, Nuapada, Puri (Id: C-39540)",14,7,2,1,,,,,,,,,,
RD COLLEGE OF EDUCATION (Id: C-63348),9,7,4,,,,1,1,,,,1,,2
"R.D. COLLEGE OF EDUCATION Mukundpur, Jhajjar (Id: C-28242)",8,8,,,,,,1,,,,,,
"R.D. COLLEGE OF EDUCATION SISHOLI, GARH ROAD, MEERUT Ph. 0121-2882252, 9358434497 (Id: C-28772)",3,7,,,,,1,1,,,,,,
RD College. Sheikhpura (Id: C-17627),8,2,2,,,,2,1,,,1,,,
"RD & DJ College, Munger (Id: C-17662)",22,5,,,,,6,4,,,3,,,
"R.D.ENGINEERING COLLEGE, DUHAI, GHAZIABAD (Id: C-46136)",36,6,1,,,,2,1,,,2,,,
"R.D.ENGINEERING COLLEGE RESEARCH CENTRE,GHAZIABAD (Id: C-49294)",14,3,,,,,,,,,,,,
"R.D.G.D. College Of Nursing, Ujjain (Id: C-31651)",23,21,5,4,1,1,12,10,,,1,,1,7
R D MAHAVIDYALAY (Id: C-62424),4,2,4,2,,,,,,,,,,
R D Memorial College Of Pharmacy and Research (Id: C-62223),11,5,,,,,,,,,,,1,1
R.D. Memorial Degree College (Id: C-54073),10,5,2,,,,2,,,,,,,
RD National Arts and Science co education college (Id: C-63062),2,6,,,,,,,,,,,,
R D O COLLEGE OF NURSING (Id: C-48075),,30,,,,,,1,,,,,,
"R.D.R.B. MAHAVIDYALAYA, NATHTHUPUR LODHNA, AMBEDKAR NAGAR (Id: C-42551)",10,2,3,,,,2,,,,,,,
"R.D.R.K. Jatia College, Ramganjmandi (Id: C-19393)",3,3,,,1,,1,1,,,,,,
"R.D.R.P.S. MAHAVIDYALAYA, AHINA, MANDHATA, PRATAPGARH (Id: C-42642)",5,1,,,,,2,,,,,,,
"R D S  BSW COLLEGE,  MUDALAGI (Id: C-9879)",18,10,1,1,,,17,8,,,,,,
"R.D.S.College, Muzaffarpur (Id: C-19020)",29,20,,,,,10,5,,,3,2,,
"R.D.S. College, Salmari (Id: C-29640)",15,,3,,,,8,,1,,,,,
R.D.S College Umariya Bilha Bilaspur  (Id: C-60148),2,8,,2,,,2,6,,1,,,,
R D SINGH COLLEGE OF EDUCATION (Id: C-60642),8,,,,,,6,,,,,,,
"R.D.S Mahavidyalaya, Kundabai (Id: C-10910)",19,5,1,,,,13,4,,,,,,
"R.D.S. Mahavidyalaya, Kushaw Bhaupar , Jaunpur (Id: C-15896)",8,,,,,,7,,,,1,,,
"R.D. Women s Degree College, H.No. 5-10-50/A, Kishanpura, Hanamkonda (Id: C-27528)",18,13,1,,,,17,10,,,,,,
Reah School of Business Management (Id: C-25434),6,5,,,,,2,4,,,1,3,,
Real Institute of Management and Research Belatrodi road (Id: C-18283),5,7,,1,,,2,1,,,1,,,2
Reamal College (Id: C-40985),3,2,,,,,3,2,,,,,,
Reasi Campus (Id: C-56136),3,2,,1,1,,,,,,,,,
"REBBANA ARTS AND SCIENCE DEGREE COLLEGE, REBBENA (Id: C-47938)",8,5,1,2,,,5,3,,,2,,,
RED CRESCENT COLLEGE OF NURSING (Id: C-50445),,18,,,,,,8,,,,,,5
"Reddy Jansangha FGC, 17th Main road, 3rd Block,  Koramangala, Bangalore-34 (Id: C-21230)",18,21,3,,,1,10,14,1,,,0,1,1
Reddys College of Civil Services and Public Administration (Id: C-61619),2,2,1,2,,,1,,,,,,,
Regal College for Technology (Id: C-44244),,8,,,,,,5,,,,,,
Regal College of Computer Application (Id: C-44134),1,4,,1,,1,,1,,,,,,1
REGAL COLLEGE OF HOTEL and TOURISM MANAGEMENT (Id: C-48546),6,5,,1,,,2,1,,,,,,2
"Regal College of Technology, 9B.C.A.) (Id: C-44210)",1,4,,,,,,,,,,,,
Regal College of Technology and Managment (Id: C-44352),3,7,,1,,,,3,,,,,,1
"REGAL EDUCATION SOCIETYâ??S COLLEGE OF HOTEL MANAGEMENT AND TOURISM, RATNAGIRI (Id: C-45219)",6,6,,,,,2,4,,,,,,
Regency College of Hotel Management (Id: C-25821),14,6,,,,,2,,,,2,,5,1
"REGENCY TEACHERS TRAINING COLLEGE, (Id: C-12701)",24,15,1,,,,9,,,,2,,,
Regent Education and Research Foundation Group of Institutions 263 (Id: C-6300),84,30,2,,,,1,,,,1,,,
"Regional Campus, Lucknow (Id: C-36915)",11,5,,,1,1,3,1,,,,,,1
"Regional Campus, Shillong (Id: C-36916)",11,11,,,3,7,2,1,,,,1,3,8
Regional College (Id: C-9373),12,29,,,,,,,,,,,1,1
"Regional College for Education,Research & Tech. ,Jaipur (Id: C-25111)",116,42,14,4,6,,18,3,,,6,1,4,4
"REGIONAL COLLEGE, KUZHIMANNA (Id: C-8230)",17,16,2,1,,,15,11,,,15,10,,
Regional College of Education (Id: C-59121),24,4,3,,,,10,,,,,,,
REGIONAL COLLEGE OF MANAGEMENT BANGALORE (Id: C-58289),10,7,1,1,,,1,2,,,1,,1,
"Regional College of Management, Chakadola Vihar, Bhubaneswar (Id: C-39545)",19,11,,,1,,,,,,,,,
"Regional College of Management (RCM), Bhubaneswar (Id: C-30171)",20,9,,,,,1,,,,,,,
"Regional College of Paramedical Health Sciences, Guwahati (Id: C-48744)",6,5,,,0,1,2,2,,,,,0,
"REGIONAL COLLEGE OF PHARMACY, JAIPUR (Id: C-47117)",18,,1,,,,8,,,,,,,
Regional College of Physical Education (Id: C-9596),6,,1,,,,,,,,,,,
Regional College of Professional Studies & Research (Id: C-13445),7,11,,,,,,,,,,,,1
"Regional College,Rambag,Jajpur (Id: C-39623)",12,17,,,,,2,,,,,,,
"Regional Degree Cwollege, Udayapur (Id: C-10949)",5,,1,,,,1,,,,1,,,
"Regional Girls College, Jhunjhunun (Id: C-39130)",8,8,6,2,,,2,6,,,,,,
Regional Institute of Education (Id: C-13104),24,3,5,1,2,1,4,1,1,,1,,1,
"Regional Institute of Education, Bhubaneswar, (Id: C-39582)",30,27,6,1,,1,3,2,,,,,,1
"Regional Institute Of Education ,Manasagangothri Mysore (Id: C-17488)",34,22,4,5,5,1,5,3,,,,1,,
Regional Institute of E-Learning & Information Technology (Id: C-16737),19,5,2,,12,4,1,1,,,,,13,4
"Regional Institute of English, Sector-32 (Id: C-29278)",1,4,,,,,,,,,,,,
REGIONAL INSTITUTE OF MANAGEMENT & TECHNOLOGY JABALPUR (Id: C-31450),3,5,,,,,2,1,,,1,,,
Regional Institute of Medical Sciences (Id: C-9435),114,70,,1,2,4,,,,,,,2,4
"Regional institute of Mentally Handicapped, Sector-31 (Id: C-29322)",2,6,,1,,,1,1,,,1,2,,1
"Regional Institute of Nursing, Jabalpur (Id: C-33445)",4,19,,,,1,3,9,,,,2,1,6
"REGIONAL INSTITUTE OF OPHTHALMOLOGY AND GOVT. OPHTHALMIC HOSPITAL, (MMC) EGMORE (Inst. Code - 416), CHENNAI (Id: C-49018)",14,23,1,1,,,3,,,,,,,
Regional Institute of Paramedical and Nursing Sciences (Id: C-8298),48,77,,2,34,68,,,,,2,,34,71
Regional Institute of Pharmaceutical Science & Technology (Id: C-9572),12,1,2,,,,,1,,,,,,
Regional Institute of Social Science of Research (Id: C-23080),1,2,,,,,,,,,,,,
"Regional Inst. of Education, Shyamla Hills, Bhopal (Id: C-35265)",21,11,6,1,1,,1,,,,2,,1,1
"Regional Labour Institute, Old Morris College Campus (Id: C-18472)",3,,,,,,,,,,,,,
Regional Medical Research Institute (I.C.M.R.) (Id: C-6575),5,1,,,,,3,1,,,,1,1,
REHBAR INSTITUTE OF EDUCATION (Id: C-58298),,8,,,,,,,,,,,,4
"Rekha Devi Memorial T.T. Institute, Malpura (Id: C-13308)",10,6,2,1,,,3,,,,1,,1,
"Rekha Shikshak Prashikshan Mahavi., Jaipur (Id: C-38237)",10,6,2,,1,1,4,,,,,,,
"RELIABLE INSTITUTE OF LAW MORTA, DELHI-MEERUT ROAD, GHAZIABAD (Id: C-28752)",11,2,1,,,,2,,,,,,,
"RELIABLE INST. OF MANAGEMENT.&  TECHNOLOGY MORTA, DELHI-MEERUT ROAD, GHAZIABAD (Id: C-28554)",18,14,1,,,,1,3,,,1,,,
Reliance Institute of Nursing  (Id: C-50928),6,12,,1,,,3,7,,,,2,2,1
Remote Sensing Applications Center (Id: C-51047),24,,7,,,,9,,,,,,,
Remuna Degree College (Id: C-21348),16,21,,,,,6,7,,,,,,
Remunda College (Id: C-40982),3,2,,1,,,3,1,,,,,,
"Renaissance College of Commerce & Management. 45, Anurag Nagar, INdore (Id: C-29730)",10,20,,,,,,,,,,,1,4
"Renaissance College of Computer Science and Technology, Nara Road (Id: C-18239)",1,5,1,3,,,0,2,,,,,1,3
RENAISSANCE COLLEGE OF HOTEL MANAGEMENT AND CATERING TECHNOLOGY (Id: C-51319),14,,,,,,,,,,2,,1,
"Renaissance Institute of Management Studies, New Chandrapur (Id: C-18185)",15,9,3,2,,,3,3,,,2,1,,
"RENAISSANCE LAW COLLEGE, INDORE (Id: C-48506)",10,13,,,,,,,,,1,1,1,3
"Renesans College, Sidhmukh (Id: C-40721)",7,,2,,1,,1,,,,,,,
"RENGNAYAHI VARATHARAJ COLLEGE OF ENGINEERING TECHNOLOGY, VIRUDHUNAGAR (Id: C-45259)",31,34,3,1,,,28,33,,,,,3,1
"Renu College, Mandideep, Raisen (Id: C-35363)",2,17,,4,,,,4,,,,1,1,
"Renuka Adhyapak Mahavidyalaya, Renapur (Id: C-7507)",3,,,,,,1,,,,,,,
"Renuka  College, Manewada  Road Besa, Nagpur (Id: C-18562)",12,7,4,2,,,4,4,,,2,,,
Renuka Debi B.Ed. College (Id: C-7118),8,4,1,,,,3,,,,2,,,
Renu Vidya Mandir  Bahalgarh Sonipat   (Id: C-63668),4,2,1,,,,,,,,,,,
Repalle Christian College (Id: C-32806),20,16,,,,,,,,,,,,2
Repalle Christian College of Education (Id: C-32716),1,,,,,,,,,,,,,
"Repalle Christian College of Nursing, Repalle (Id: C-30423)",1,17,,5,,,1,4,,,,,,3
"Resami Mahila Mahavidyalay, Ghazipur (Id: C-51415)",1,4,,,,,,,,,,,,
"Reshami College of Teacher Education, Atariya, Gharmmarpur, Ghazipur (Id: C-60766)",12,3,3,1,,,,,,,,,,
"Reshma Devi Degree College, Amwa, Sohanariya, Deoria (Id: C-14315)",7,1,1,,,,,,,,,,,
"Reshmi Degree College, Mau (Id: C-57681)",3,,1,,,,2,,,,,,,
Residency College of Education (Id: C-30305),11,5,4,,,,3,1,,,,,,
Residential Governament First Grade College Ramanagar (Id: C-62699),2,2,,1,,,2,1,,,,,,
RESONANCE INSTITUTE OF TECHNOLOGY (Id: C-53804),4,2,,,,,,,1,,,,,
"RES SHRI O & R G SHEELAVANT ARTS&COMM COLLEGE,  RABKAVI (Id: C-9903)",3,1,1,,,,2,1,,,,,,
REVABA SARVAJANIK EDUCATION COLLEGE (Id: C-6792),11,6,2,,,,6,4,,,,,,
"Reva B.Ed. College of Education, Jabalpur (Id: C-33337)",1,13,,,,,1,8,,,,1,,
REVA INSTITUTE OF COMPUTER AND EDUCATION NIWAS (Id: C-59459),2,1,,,,,1,,,,,,,
"Reva Institute of Management Studies, #11th Cross, HAF Post, Near CBI Office, Ganganagar, Bangalore -560 024(10-11/11-12) (Id: C-21047)",3,,1,,,,,,,,,,,
"Reva Institute of Science & Technology, No.227, Kattigenahalli, Jala Hobli, Yelahanka, Bangalore -64 (Id: C-20787)",14,19,,1,,,13,13,,,,,,1
"Revanath Chaure College of Education, Sausar (Id: C-19137)",14,2,11,,,,2,2,,,,,7,
"REVATHI COLLEGE OF NURSING, (Inst. Code - 623), Tiruppur (Id: C-51886)",2,13,,2,,,2,10,,,,,,3
"REVATHI MEDICAL CENTER (Inst. Code - 500), TIRUPUR (Id: C-45770)",2,1,,1,,,2,,,,,,,
REV. JACOB MEMORIAL CHRISTIAN COLLEGE (Id: C-36504),22,18,6,1,,,16,17,1,,,,7,4
Rev.John Thomas college of Education for women (Id: C-14564),,6,,1,,,,5,,,,,,5
"Revnath Choure College, Saoner (Id: C-18859)",4,6,,,,,,,,,,,,
Rev. Noorunnissa College of Nursing (Id: C-40223),7,22,,,,,,,,,1,2,1,11
"REWA COLLEGE OF EDUCATION  RATAHRA, REWA (Id: C-31859)",4,6,,,,,,1,,,,,,
"""Rewa College of Pharmacy, NH 7, Allahabad Road, Rathiri,  Rewa-486001"" (Id: C-36178)",12,3,,,,,4,2,,,,,1,
"Rewa Engineering College,  University Road, Rewa  - 486001 (Id: C-36223)",66,4,6,1,6,,11,1,,,0,,4,1
"REWA INSTITUT OF TECNOLOGY RATAHARA,REWA (Id: C-31827)",5,2,,,,,,1,,,,,,
"REWANCHAL INSTITUT OF TECNOLOGY LALGANWA,REWA (Id: C-31854)",12,3,1,,,,4,,,,,,,
"Reynolds Memorial Hospital & Affiliated Clinicss Nazarene Nurses Training College (B.Sc.), Pusad Road, Washim (Id: C-13851)",4,14,1,1,,,,2,,,,,4,10
R G BAROT COLLEGE EDUCATION (Id: C-6813),13,6,,,,,1,,,,,,,
R G BAROT EDUCATION COLLEGE (MED) (Id: C-6903),8,4,1,,,,1,,,,,,1,
R.G. Baruah College (Id: C-17172),20,22,4,1,1,1,3,4,,,,1,,
R G COLLEGE OF EDUCATION  (Id: C-61413),29,3,6,,,,18,1,,,1,,,
R G COLLEGE OF PHARMACY (Id: C-62762),8,4,2,2,,,2,,,,,,,
"R.G. College, Padmapur (Id: C-39385)",2,1,,,,,,,,,,,,
R G INSTITUTE OF COMMERCE AND MANAGEMENT (Id: C-52332),10,7,3,,,,,,,,,,,1
R G Kar Medical College (Id: C-16416),30,3,,,,,1,,,,,,,
R.G Kedia College of Commerce (Id: C-25502),12,18,,,,,,,,,1,4,,
R.G. Kedia Degree College (Id: C-25553),8,12,1,1,,,1,2,,1,2,,,
"R G MAHAVIDYALAYA, BAGHPUR (Id: C-54268)",9,11,,1,,,3,2,,,,,,
RGM COLLEGE OF NURSING (Id: C-51407),10,7,,1,,,8,4,,,1,,1,2
R.G. Memorial College (Id: C-17334),23,3,1,,,,,1,,,22,1,,
"R G Mishra B.Ed. College, Alwar (Id: C-38837)",8,8,1,,,,1,2,,,,,,
R.G. (P.G.) College Meerut Mob.No.9837300655 (Id: C-28817),,101,,6,,,,17,,,,2,,5
RGR Siddhanthi College of Education (Id: C-25619),3,13,1,2,,,1,6,,,,2,,2
RGR Siddhanthi College of Pharmacy (Id: C-19546),13,7,3,3,1,,1,3,,,,1,,
RGR Siddhanthi Degree College (Id: C-25683),7,17,2,2,,1,2,1,,,1,2,2,
R. G. Shah Science College (Id: C-5913),14,9,1,,1,,4,2,,,,,,2
"R.G. Shinde Arts, Commerce & Science College, Paranda. (Id: C-34468)",27,3,4,,,,5,2,,,,2,,
RGUKT SRIKAKULAM (Id: C-63634),84,45,13,7,3,3,60,27,,,1,2,1,2
R. H. Patel Arts & Comm. College (Id: C-5883),15,9,1,,,,6,,1,,,,1,1
"R.H.PATEL INSTI. OF TECHNOLOGY,GOBLAJ,KHEDA 641 (Id: C-27)",34,10,1,,,,9,1,,,2,1,1,
"R. H. Patel Institute of Management-Goblaj,Di:Kheda -(SFI) 804 (Id: C-235)",9,8,1,2,,,1,,,,2,,,
"Rhytham Institute of Professional Studies, Barwani (Id: C-47277)",4,4,2,,1,,1,2,,,,,,
Riagin Roushonara Teachers Training College (Id: C-58124),15,3,5,,,,,1,,,8,2,,
Ri Bhoi College (Id: C-16340),10,22,,,7,22,,,,,,,8,22
"Richard Almeda Memorial College, Navunda, Kundapura (Id: C-16959)",3,9,,,,,1,6,,,,,,1
"RICH College of Nursing, Nellore (Id: C-30357)",,18,,7,,,,11,,,,,,2
RIDHDHI BCA COLLEGE MOTIPURA (Id: C-6736),2,4,,1,,,2,2,,,,,,
"R.I.E PG College, Kurnool (Id: C-26260)",2,1,,,,,,,,,,,,
"R.I.E.T VIDYAPEETH,  (Only For girls) POHLI, SARDHANA ROAD, MEERUT (Id: C-28850)",3,,1,,,,1,,,,,,,
"RIGHT COLLEGE OF NURSING (Inst. Code - 293), VANAGARAM, CHENNAI (Id: C-45455)",8,29,4,4,,,4,23,,,,1,4,10
R.I.H.S. Bhograi (Id: C-21373),42,4,1,,,1,1,,,,,,,
"Rims College of Nursing, Bhansoj Raod,Gram - Godhi Dist. - Raipur (C.G.) (Id: C-59683)",9,18,1,5,,3,5,9,,,,,2,
"R.I.M.Studies,Chhend (Id: C-40888)",8,7,,,,,,,,,,1,,
"Rimuli College, Rimuli (Id: C-10925)",21,14,3,1,1,4,11,,,,,,,
"RINPAS, Kanke (Id: C-43266)",5,3,1,,1,,,,,,,1,1,1
Rinpoche Academy of Management and Technology 246 (Id: C-6169),2,1,,,,,,,,,,,,
"RISE Gandhi Group of Institutions, (Integrated Campus), Off NH-5, Valluru, Ongole-523272(CC-8B) (Id: C-18128)",47,21,6,,1,,17,6,,,1,,,
RISE MAX COLLEGE OF EDUCATION (Id: C-28325),13,10,1,,,,1,,,,2,,,
"RISE Prakasam Group of Institutions (Integrated Campus), Off NH-5, Valluru, Ongole-523272(CC-8A) (Id: C-18142)",80,26,15,4,,,25,5,,,2,1,1,
RISHI ARABINDO COLLEGE OF EDUCATION (Id: C-60308),17,10,4,2,,,1,3,,,1,,,
RISHI AUROBINDO INSTITUTE OF TEACHER EDUCATION (Id: C-55950),5,4,,,,,,,,,,,,
"Rishi Bal Mahavidyalaya, Patti Maudha, Kanth (Id: C-13333)",11,,2,,,,1,,,,2,,,
Rishi Bankim Chandra College (Id: C-43343),48,42,8,3,1,,10,1,,,4,1,,
Rishi Bankim Chandra College for Women (Id: C-43381),19,26,4,5,,1,3,3,,,3,,,1
Rishi Bankim Chandra Evening College (Id: C-43399),39,12,6,1,,,4,,1,,1,,,
"Rishi Dayaram  and Seth Hassaram National College  and Seth Wassiamul Assomull Science College ,Lnking Road Bandra West Mumbai  400 05 (Id: C-33953)",27,49,1,,,,2,2,,,3,6,4,7
Rishi Degree College (Id: C-25827),6,9,,,,,,2,,,1,1,1,1
RISHI Degree College (Id: C-24246),16,3,1,,,,15,3,,,,,,
"Rishi Galav TT College, Dhaulpur (Id: C-38546)",15,1,,,,,,,,,,,,
"Rishikul Sanskrit Mahavidyalaya, Sisava Bazar (Id: C-20102)",1,,,,,,,,,,,,,
Rishi M.S. Institute of Engineering & Technology for Women (Id: C-19737),22,43,10,3,,1,7,12,,,,,,1
RISHIRAJ COLLEGE OF DENTAL SCIENCES AND RESEARCH CENTRE BHOPAL (Id: C-62264),26,46,1,1,,,6,9,,,2,3,,1
"Rishiraj Institute of Technology Village Revati, Sanwer Road,Indore (Id: C-29813)",30,13,2,,,,12,5,,,1,,,
"RISHIRAJ SINGH MAHAVIDALAYA, BAMHRAULI (Id: C-56752)",11,,,,,,3,,,,,,,
"RISHIRAJ SINGH MAHAVIDYALAYA, MAHUARI, AMBEDKAR NAGAR (Id: C-42489)",30,6,8,,,,7,1,,,3,1,,
"Rishi Ram Naresh Krishak Mahavidyalaya, Molanapur, Dubari, Mau (Id: C-16156)",3,2,,,1,,1,2,,,,,,
"RISHISHWAR COLLEGE , PHOOF (Id: C-34966)",11,5,,,,,1,1,,,,,,1
Rishi UBR Degree College for Women (Id: C-25556),4,31,,,,,,2,,,,,,
RISHI YOG INSTITUTE (Id: C-60363),4,1,,,,,,,,,,,,
"Ritambhara Vishva Vidyapeeth's Malini Kishor Sanghvi College of Commerce & Economics, Shri Jitendra Mafatlal Mehta Educational Complex Plot No A 12  18  JVP D Scheme  Mora Village Road  Vile Parle  West  Mumbai  400 049 (Id: C-33844)",20,45,1,1,,,,,,,1,2,1,3
"RITEE COLLEGE OF EDUCATION, RAIPUR (Id: C-60236)",1,15,,,,,,5,,,,,,2
"R.I.T.E.E. NURSING COLLEGE, MANDIR HASOUD, CHHATAUNA (Id: C-32991)",6,19,,4,,2,2,7,,,,,1,5
"RITURAJ MAHAVIDYALAYA, JONIHA ROAD, (Id: C-12458)",14,5,,1,,,7,3,,,,,,
"RIWARD MAHAVIDYALAYA, HANUMANGANJ, SULTANPUR (Id: C-42409)",3,3,,,,,1,2,,,,,,
RIYA INTERNATIONAL COLLEGE  (Id: C-56321),16,1,3,,,,8,1,,,,,,
RIYAN COLLEGE OF EDUCATION (Id: C-54339),13,3,1,,,,11,3,,,3,2,,
RIZIA BIBI ACADEMY OF TEACHERS EDUCATION (Id: C-53282),10,3,,1,,,4,1,,,4,2,,
Rizvi Education Society Rizvi College of Law Bandra (West) Munbai 400 050 (Id: C-33498),18,16,,,,,,,,,2,4,8,6
"""Rizvi Education Society's College of Architecture, Rizvi Education Complex, Off. Carter Road, Bandra (West),                         Mumbai-400050"" (Id: C-34074)",23,25,,,,,,,,,9,6,1,
Rizvi Education Societys College of Arts Science and Commerce Rizvi Complex Off Carter Road Sherly Road Bandra West Mumbai  400 050 (Id: C-34142),23,30,2,,,,,,,,11,20,1,
Rizvi Education Societys College of Engineering Bandra (West) Mumbai-400 051 (Id: C-34027),54,28,,,,,,,,,11,4,2,2
Rizvi Education Societys Rizvi College of Education New Rizvi Educational Complex Off Carter Road Bandra (West) Mumbai 400 050 (Id: C-33799),1,6,,,,,,,,,,1,,
"Rizvi Education Societys, Rizvi college of Hotel and Tourism Management Studies (Id: C-51616)",19,12,,,,,,,,,1,1,3,3
"Rizvi Institute of Management Studies & Research New Rizvi Education Complex, Off Carter Road, Bandra (West), Mumbai - 400 050 (Id: C-33934)",43,5,,,,,1,,1,,12,,3,
"RIZWAN MEMORIAL COLLEGE OF EDUCATION, BANDIPORA (Id: C-46009)",6,3,,,,,,,,,4,3,,
R J College of Pharmacy (Id: C-63552),5,1,,,,,2,1,,,1,,,
"R J Degree College, Rampur, Balbhadra Ghazipur (Id: C-63774)",1,,,,,,1,,,,,,,
"R.Jha Mahila College, Saharsa (Id: C-29608)",31,13,1,1,,,5,3,,,1,,,
"R.J. INSTITUTE OF HIGHER EDUCATION NH-93, CHONDERA-DIBAI, BULANDSHAHR Ph. No.05734-249111 (Id: C-28952)",34,5,4,,,,16,1,,,2,,,
R J LAW MAHAVIDYALAYA (Id: C-58685),7,,1,,,,5,,,,,,,
"R.J. MAHAVIYALAYA,RAIPUR,GHARBARA,ALIGARH (Id: C-15284)",20,5,3,,,,6,2,,,4,,,
"RJRM Degree College, Marripeda (Id: C-27257)",13,2,1,,3,,8,1,1,,,,,
"RJ School of Mgmt. Studies (RJSMS), Balasore (Id: C-30103)",5,2,,,,,,,0,,,,,
"R.J.S. Evening College,  #1, Mahayogiramana Road, 16th Main, 3rd Block, Koramangala, Bangalore -34, (Id: C-21098)",9,2,4,,,,5,2,,,,,,
RJS INSTITUTE OF MANAGEMENT STUDIES (Id: C-62527),16,10,3,,,,11,6,,,,,,
R.J.S.M.S. (Id: C-21357),3,1,,,,,,,,,,,,
R. J. Tibrewal Commerce College (Id: C-5924),8,9,,1,,,,1,,,,1,2,
R J WORLD COLLEGE OF PHARMACY EDUCATION AND TECHNOLOGY (Id: C-60562),11,3,1,,,,7,2,1,,1,1,,1
R.K. Arya College Nawan Shehar (Id: C-27951),18,20,4,5,,,1,1,1,,,,3,8
R.K.A. Vidhi College (Id: C-8735),8,1,1,,,,,1,,,,,,
R.K. Behera (+3) College (Id: C-21360),4,2,,,,,1,1,,,,,,
R. K. College (Id: C-8786),63,15,4,,,,22,7,,,9,,,
"R.K. COLLEGE, GARH ROAD, KITHORE, MEERUT (Id: C-28947)",29,14,8,2,,,5,7,,,1,,,
"R.K. COLLEGE,KUTHILA LAYAKPUR (Id: C-55523)",12,3,,,,,6,3,,,,,,
R.K College of Education (Id: C-22946),,4,,1,,,,1,,,,,,
"R.K. COLLEGE OF EDUCATION, ROHTAK (Id: C-34988)",,15,,2,,,,,,,,,,
"RK College of Engineering, Navepothavaram(V),Kethanakonda, Ibrahimpatnam,PIN-521456,(CC-MC) (Id: C-17900)",90,40,16,6,1,4,47,19,,,9,3,11,5
"R.K.COLLEGE OF LAW CHAMELI BAGH AGRA ROAD, FIROZABAD (Id: C-15363)",4,5,,1,,,,,,,1,,,
R K College of Nursing (Id: C-40359),11,4,,,,,,,,,,,1,3
R K College of Pharmacy (Id: C-62894),6,3,1,,,,2,1,,,,,,
R K COLLEGE OF PHYSIOTHERAPY (Id: C-62169),4,1,,,,,,,,,,,,
